"id","total","step1","step2","step3","step4","step5","step6"
"369","52.464582443237305","0.001","0.898","0.001","10.601","40.963","0.0"
"370","50.90574598312378","0.0","0.907","0.001","17.567","32.429","0.0"
"371","45.297093629837036","0.0","0.944","0.001","21.459","22.892","0.0"
"372","35.899699211120605","0.001","1.012","0.001","8.127","26.757","0.0"
"373","77.90845799446106","0.001","0.982","0.001","12.806","64.117","0.0"
"374","106.89339089393616","0.0","0.982","0.001","23.774","82.135","0.0"
"375","79.79055118560791","0.0","0.792","0.001","12.924","66.072","0.0"
"376","41.13865852355957","0.001","0.923","0.001","19.807","20.405","0.0"
"377","139.7360577583313","0.001","0.862","0.001","19.969","118.902","0.0"
"378","36.50390362739563","0.0","0.915","0.0","9.452","26.135","0.0"
"379","127.07583355903625","0.0","0.782","0.001","23.483","102.808","0.0"
"380","54.22490644454956","0.0","0.01","0.001","7.103","47.109","0.0"
"381","20.123316526412964","0.0","0.843","0.001","6.334","12.943","0.001"
"382","90.36933422088623","0.0","1.969","0.001","17.483","70.915","0.0"
"383","32.44106674194336","0.0","0.949","0.001","17.758","13.731","0.0"
"384","74.0056266784668","0.001","0.833","0.0","20.586","52.584","0.0"
"385","26.73362946510315","0.001","0.936","0.0","10.624","15.171","0.001"
"386","14.803663730621338","0.001","0.795","0.001","4.904","9.102","0.0"
"387","70.83953213691711","0.0","1.009","0.001","9.794","60.034","0.0"
"388","41.176223039627075","0.0","0.815","0.001","13.826","26.533","0.0"
"389","37.20689272880554","0.001","1.019","0.001","25.033","11.152","0.0"
"390","18.538393020629883","0.0","0.905","0.001","6.879","10.752","0.0"
"391","22.667175769805908","0.001","0.846","0.001","15.508","6.31","0.0"
"392","27.791934967041016","0.0","1.008","0.001","10.08","16.701","0.0"
"393","37.28015947341919","0.0","0.878","0.001","10.278","26.121","0.0"
"394","59.453383684158325","0.0","0.848","0.001","14.462","44.141","0.0"
"395","40.83254289627075","0.001","0.884","0.001","18.262","21.684","0.0"
"396","52.75868248939514","0.0","0.868","0.001","8.083","43.805","0.0"
"397","15.19176721572876","0.0","0.855","0.001","8.975","5.359","0.001"
"398","44.27851748466492","0.001","1.035","0.001","19.52","23.72","0.0"
"399","24.418989419937134","0.001","0.997","0.001","8.335","15.085","0.0"
"400","9.861048936843872","0.0","0.861","0.001","6.132","2.865","0.0"
"401","25.409719944000244","0.0","0.771","0.001","7.342","17.295","0.0"
"402","18.191361904144287","0.0","0.838","0.001","12.637","4.714","0.0"
"403","22.355595588684082","0.0","0.819","0.001","6.03","15.505","0.0"
"404","35.82629990577698","0.0","0.927","0.001","20.045","14.852","0.0"
"405","9.172606468200684","0.0","0.904","0.001","5.41","2.856","0.0"
"406","27.541213989257812","0.001","0.815","0.001","10.298","16.425","0.001"
"407","14.781861543655396","0.001","0.867","0.001","11.172","2.74","0.0"
"408","48.72834038734436","0.0","0.781","0.001","14.93","33.016","0.0"
"409","8.266894340515137","0.0","0.811","0.0","4.174","3.28","0.0"
"410","11.535207748413086","0.0","0.735","0.0","4.171","6.627","0.0"
"411","41.16644096374512","0.0","0.889","0.001","12.68","27.595","0.0"
"412","18.028886079788208","0.0","0.917","0.0","4.579","12.531","0.0"
"413","215.32365441322327","0.001","1.012","0.0","13.427","200.881","0.001"
"414","43.886507511138916","0.0","1.012","0.001","23.622","19.25","0.0"
"415","42.136629581451416","0.0","0.913","0.001","17.239","23.982","0.0"
"416","25.70616316795349","0.0","0.929","0.001","14.676","10.099","0.0"
"417","43.46313238143921","0.0","0.985","0.001","20.2","22.276","0.0"
"418","12.706464290618896","0.0","0.947","0.0","7.463","4.294","0.0"
"419","30.847872495651245","0.0","0.833","0.001","14.984","15.028","0.0"
"420","64.06531953811646","0.0","0.939","0.001","28.011","35.113","0.0"
"421","22.675958395004272","0.0","0.956","0.001","8.853","12.865","0.0"
"422","34.83568358421326","0.0","0.983","0.001","8.912","24.938","0.0"
"423","29.224287271499634","0.001","0.836","0.001","6.542","21.843","0.0"
"424","64.87304711341858","0.001","0.884","0.001","9.841","54.144","0.0"
"425","131.8054437637329","0.0","1.035","0.001","18.744","112.024","0.0"
"426","11.855955362319946","0.001","1.0","0.001","3.593","7.26","0.0"
"427","30.619694471359253","0.001","0.87","0.001","11.825","17.922","0.0"
"428","22.778852701187134","0.001","0.927","0.001","13.36","8.488","0.0"
"429","137.65814328193665","0.0","1.025","0.001","8.687","127.942","0.001"
"430","25.47079110145569","0.001","0.978","0.001","13.67","10.82","0.0"
"431","42.13163948059082","0.001","1.077","0.001","24.408","16.643","0.001"
"432","106.44230389595032","0.001","0.866","0.001","13.737","91.836","0.0"
"433","19.919859886169434","0.001","0.939","0.001","8.367","10.611","0.0"
"434","33.10380697250366","0.001","0.813","0.001","10.181","22.107","0.001"
"435","40.74870729446411","0.001","0.975","0.001","18.987","20.783","0.0"
"436","35.83587718009949","0.001","0.883","0.001","13.536","21.413","0.001"
